ano_calendario,conteudo_codigo,conteudo_descricao,valor_total,total,acum,gera_credito
2024,10.01.00022,DROGAS E MEDICAMENTOS,6050680.84,0.02738708396555195,65.2394431167032,N
2024,10.01.00015,Material de consultório,6030740.53,0.027296828511874916,65.26673994521508,S
2023,10.01.00015,Materiais Odontológicos,6012187.21,0.027212850965196093,65.29395279618028,S
2023,10.01.00015,Serviços de Terceiros,5940966.03,0.026890483864969787,65.32084328004525,S
2023,10.01.00015,Material de consultório,5907487.9,0.02673895242882818,65.34758223247408,S
2023,10.01.00017,PESSOAL,5843858.57,0.026450948177825284,65.3740331806519,N
2024,10.02.00001,Livro Caixa Escriba,5784131.85,0.0261806082377621,65.40021378888967,N
2024,10.03.00003,Complemento Salarial,5782665.65,0.026173971804016528,65.42638776069369,N
2024,10.01.00015,Serv. Prestados PJ,5782279.86,0.026172225609926564,65.45255998630361,N
2024,10.01.00015,Funajuris/Anoreg,5768857.42,0.026111471869806537,65.47867145817342,N
2024,10.01.00026,PRESTAÇÃO DE SERVIÇO,5735193.75,0.02595910062741943,65.50463055880084,N
2024,10.01.00015,"Remuneração paga a terceiros, sem vínculo empregatício",5704373.82,0.025819600952417168,65.53045015975326,S
2024,10.01.00016,Material de Consumo/Dental,5599962.61,0.025347006437712132,65.55579716619097,S
2023,10.01.00015,Material Aplicado,5572564.63,0.025222995471245995,65.58102016166221,S
2024,10.01.00002,Arrematante - SRA Encargos / Comissão,5563754.9,0.025183120154466963,65.60620328181668,N
2024,10.01.00056,I.R.R.F.,5553280.2,0.025135708714994313,65.63133899053167,N
2024,10.01.00023,"Remuneração paga a terceiros com vinculo empregaticio, INSS, FGTS, ",5519061.43,0.02498082493381839,65.6563198154655,N
2024,10.01.00015,FUNAJURIS,5513703.34,0.024956572710869384,65.68127638817636,N
2023,10.01.00015,Total de Despesas Pagas,5504508.03,0.024914952150519473,65.70619134032688,N
2023,10.01.00065,DESPESAS DO MÊS,5481775.56,0.02481205859505069,65.73100339892193,N
2023,10.01.00015,Insumos,5476397.31,0.02478771512226925,65.7557911140442,S
2023,10.01.00015,Livro Caixa - Despesas dedutíveis,5476248.92,0.024787043467376667,65.78057815751157,N
2023,10.01.00015,Repasse Estadual,5442170.58,0.02463279531189362,65.80521095282346,N
2024,10.01.00016,Serviços de terceiros,5435539.22,0.024602779910663862,65.82981373273412,S
2023,10.02.00001,Livro Caixa Escriba,5435239.12,0.024601421573624545,65.85441515430774,N
2023,10.01.00015,Material Utilizado na Prestação de Serviços,5406288.72,0.02447038391743306,65.87888553822518,S
2024,10.01.00021,FUNAJURIS,5404950.96,0.024464328839266723,65.90334986706445,N
2024,10.01.00015,Total de despesas,5361015.64,0.024265465218839277,65.9276153322833,N
2024,10.01.00030,Impostos e taxas ,5336949.11,0.02415653333244524,65.95177186561574,N
2024,10.01.00021,SALÁRIOS - PAGTO. DE SALÁRIOS REF.,5328178.77,0.024116836305889386,65.97588870192163,N
2024,10.01.00015,Salarios e Ordenados,5313682.7,0.024051223014301445,65.99993992493593,N
2023,10.01.00015,Total de Despesas Dedutíveis,5242042.71,0.023726960262174312,66.02366688519811,N
2024,10.01.00006,TOTAL DE DESPESAS,5196589.83,0.02352122773819009,66.0471881129363,N
2024,10.01.00018,Material de Expediente ,5183067.05,0.02346001983099734,66.07064813276729,S
2024,10.01.00017,Prestação de Serviços,5155033.13,0.023333130421156385,66.09398126318844,N
2024,10.01.00013,"Folha Celetistas, com vínculo empregatício, INSS e FGTS",5154771.03,0.023331944082809152,66.11731320727125,N
2023,10.01.00021,Despesas diversas,5145486.16,0.023289918148699688,66.14060312541996,N
2024,10.01.00012,Material Odontológico,5124944.98,0.023196942988335502,66.16380006840829,S
2023,10.01.00013,"Remuneração paga a terceiros, com vínculo empregatício",5124462.64,0.023194759781779203,66.18699482819007,N
2024,10.01.00027,FUNDESP/FUNCOMP/FEMAL - D,5108163.89,0.023120987053290097,66.21011581524336,N
2023,10.01.00015,Despesas apuradas em livro caixa,5067142.01,0.022935310482059018,66.23305112572541,N
2023,10.01.00016,GPS,5049094.48,0.022853622283234634,66.25590474800865,N
2023,10.01.00001,TOTAL DE DESPESAS DEDUTÍVEIS,5037080.33,0.022799242859906012,66.27870399086855,N
2023,10.01.00015,Total de Despesas,4989854.37,0.022585484876949207,66.3012894757455,N
2024,10.01.00015,Material Odontológico ,4989853.74,0.022585482025391946,66.3238749577709,S
2024,10.01.00017,Serviço de Terceiros,4982762.14,0.02255338344842418,66.34642834121932,S
2023,10.01.00001,Salários,4975474.95,0.022520399576083143,66.3689487407954,N
2024,10.01.00020,Taxa de Fiscalização Judiciaria,4943135.99,0.022374024343890492,66.3913227651393,N
2024,10.01.00018,Taxa de Fiscalização Judiciária (TFJ),4934205.63,0.022333603021789716,66.41365636816109,N
2023,10.03.00003,Complemento Salarial,4911231.01,0.02222961342728705,66.43588598158837,N
2024,10.01.00024,Pagamentos apurados  no Livro Caixa,4893587.71,0.022149754887181107,66.45803573647555,N
2023,10.01.00016,Serviços prestados - pessoa jurídica,4863071.83,0.022011631428029574,66.48004736790358,N
2023,10.01.00008,Despesas Dedutíveis - Livro Caixa,4817906.14,0.021807198806792175,66.50185456671038,N
2024,10.01.00016,Benefícios para funcionários,4803277.75,0.021740986597653274,66.52359555330803,N
2023,10.01.00018,MATERIAIS MÉDICOS e DESCARTÁVEIS,4781404.45,0.021641981887349677,66.54523753519538,S
2023,10.01.00001,"Salários, Férias e Abonos",4775809.23,0.021616656347299257,66.56685419154269,N
2024,10.01.00018,MATERIAIS MÉDICOS e DESCARTÁVEIS,4768790.66,0.02158488832465999,66.58843907986734,S
2023,10.01.00016,Serviços de terceiros,4763809.31,0.021562341332954538,66.6100014212003,S
2023,10.01.00015,Serviços Prestados PF e PJ,4759072.69,0.02154090205808892,66.63154232325839,N
2023,10.01.00027,FUNDESP/FUNCOMP/FEMAL - D,4742004.71,0.021463647578181103,66.65300597083657,N
2023,10.01.00017,Repasse ao Ipesp,4741262.08,0.021460286225846857,66.67446625706242,N
2023,10.01.00016,Material odontológico,4734974.44,0.0214318265980498,66.69589808366047,S
2024,10.01.00016,Despesas Diversas,4725834.7,0.021390457563155652,66.71728854122362,N
2023,10.01.00059,Folha mensal de salários,4712575.45,0.021330442466892495,66.73861898369051,N
