ref,fundam_legal,beneficio,item,descr_produto,oper,ncm
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,GERAL,Alíquota 0%,1,Barra de apoio para pessoa com deficiência física,INC,8302.41.00
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,GERAL,Alíquota 0%,3,Partes e acessórios destinados exclusivamente a aplicação em cadeiras de rodas ou em outros veículos para deficientes,INC,8714.20.00
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,GERAL,Alíquota 0%,4,"Aparelhos para facilitar a audição dos surdos, exceto partes e acessórios",INC,9021.40.00
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,GERAL,Alíquota 0%,5,Partes e acessórios de aparelhos para facilitar a audição dos surdos,INC,9021.90.92
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,GERAL,Alíquota 0%,6,Implantes cocleares,INC,9021.90.19
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,GERAL,Alíquota 0%,2.1,Cadeira de rodas sem mecanismo de propulsão,INC,8713.10.00
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,GERAL,Alíquota 0%,2.2,Cadeiras de rodas com motor ou com outro mecanismo de propulsão e outros veículos para pessoas com incapacidade,INC,8713.90.00
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.1,"Comando de embreagem manual, suas partes e acessórios",INC,8708.99.10
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.10,"Trilho elétrico para deslocamento do assento dianteiro para outra parte do interior do veículo, suas partes e acessórios",INC,8708.29.99
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.11,"Plataforma de elevação para cadeira de rodas, manual, eletro-hidráulica ou eletromecânica",INC,8428.90.90
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.12,"Rampa para cadeira de rodas, suas partes e acessórios",INC,8708.29.99
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.13,Guincho para transportar cadeira de rodas,INC,8425.31.10
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.2,"Comando de freio manual, suas partes e acessórios",INC,8708.99.10
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.3,"Comando de acelerador manual, suas partes e acessórios",INC,8708.99.10
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.4,"Inversão do pedal do acelerador, suas partes e acessórios",INC,8708.99.10
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.5,"Prolongamento de pedais, suas partes e acessórios",INC,8708.99.10
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.6,"Empunhadura, suas partes e acessórios",INC,8708.29.99
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.7,"Servo acionadores de volante, suas partes e acessórios",INC,8708.99.10
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.8,"Deslocamento de comandos do painel, suas partes e acessórios",INC,8708.29.99
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,1.9,"Plataforma giratória para deslocamento giratório do assento de veículo, suas partes e acessórios",INC,8708.29.99
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.1,"Bengala inteiriça, dobrável ou telescópica, com ponteira de náilon",INC,6602.00.00
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.10,"Equipamento sintetizador para reprodução em voz de sinais gerados por microcomputadores, permitida a leitura de dados de arquivos, de uso interno ou externo, com padrão de protocolo SSIL de interface com softwares leitores de tela",INC,8471.80.00
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.2,"Relógio em braille, com sintetizador de voz e mostrador ampliado",INC,9102.11.10
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.2,"Relógio em braille, com sintetizador de voz e mostrador ampliado",INC,9102.11.90
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.2,"Relógio em braille, com sintetizador de voz e mostrador ampliado",INC,9102.91.00
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.3,Termômetro digital com sistema de voz,INC,9025.19.90
