ncm,valor_produtos_servicos,tributos_nfe
03049900,13065896.14,19056.97
03051000,30,4.56
03052090,121129.55,4676.18
03053000,68,14.45
03053100,225,0
03053210,8923.39,1095.61
03053220,799.9999999999999,232.72
03053290,1692.33,77.27999999999999
03053900,6249.34,231.65
03053990,21,0
03054100,1847.71,285.0400000000001
03054200,290,32
03054910,7050.19,8.379999999999999
03054920,38.9,0
03054990,2555.43,45.11
03055100,82032.13,3812.88
03055200,173.71,0
03055310,1992030.75,1134.05
03055390,1973.12,0
03055400,598,0
03055900,24816.17,120.73
03055905,0,0
03056100,348,2.97
03056200,66340.32,6385.28
03056300,2759.6,0
03056400,96,0
03056910,4242.51,761.52
03056990,18447.26000000001,2511.88
03057100,228,0
03057200,710.73,33.2
03057900,79.06,19.49
03061110,34540.45,146.41
03061190,6298.66,1025.27
03061200,378.4,0
03061300,17931.95,1584.58
03061399,588,0
03061400,947.9499999999999,104.48
03061500,275,0
03061610,1800.07,372.03
03061690,20421.67999999999,5011.439999999999
03061710,7714.649999999997,1200.06
03061790,267063.81,49627.42
03061910,1391.6,0
03061990,1903538.46,48384.30999999998
03063200,157.2,0
03063400,2.4,0
03063500,991.25,0
03063600,465610.63,29315.67000000001
03063910,3.99,0
03063990,12440.54,122.77
03069200,118,0
03069500,482175.45,527.31
03069990,17649.82,361.64
03071100,2,0
03071200,55.51,0
03071900,7.1,0
03072100,12779.61,0
03072200,52484.41,464.5199999999999
03072900,11661.06,200.51
03073200,38751.42,2755.59
03073900,1336.64,236.65
03074310,233252.48,24880.72
03074320,1792.84,444.33
03074900,100896.25,627.34
03075100,291.17,19.34
03075200,5353.640000000001,374.2599999999999
03075900,25360.64,267.21
03076000,850,0
03077100,14.14,0
03078100,1338.1,71.91
03078200,275.66,9.87
03078300,740,0
03078800,110,0
03078900,1540.51,0
03079200,572,0
03079900,974.8199999999999,209.49
03081100,1552.85,0
03081200,3933.89,1.11
03081900,39558.75,12.84
03082100,460.6,0
03082200,506.3,0
03082900,2552.9,24.23
03089000,291600.75,16.48
03091000,155989.28,6334.47
03099000,123608.84,3022.36
03201402,0,0
03214900,0,0
03230015,0,0
03400122,0,0
03402500,0,0
03680360,0,0
03703340,0,0
03808941,0,0
03819000,0,0
03923219,0,0
03924900,0,0
03942903,0,0
04011010,774576.5399999998,17437.73
04011090,656874.6,32706.71
04011210,0,0
04012010,10955067.6,439572.7299999999
04012090,848033.61,6309.109999999999
04013010,14664.81,583.5
04013020,0,0
04013021,16672.73,3962.98
04014010,370878.06,71.95
04014021,90911.84999999999,9662.61
04014029,66636.01,4213.73
04015010,7504860.939999998,111.66
04015021,2610817.659999999,337753.5100000001
04015029,311533.2600000001,32999.50000000001
04017000,0,0
04021010,179749.65,4975.17
04021090,616459.4600000001,5685.62
04022110,6294309.639999998,556565.5400000002
04022120,133934.52,7373.03
04022130,169911.16,12316.02
04022910,164398.98,4402.96
04022920,16521.92,1370.89
04022930,112837.62,8463.6
04029100,40546.58000000001,448.84
04029900,3990524.459999997,497555.83
04031000,15829.39,1169.51
04032000,1248686.319999998,40930.97
04039000,647875.7099999998,29144.75999999999
04041000,20506064.29,2485724.669999999
04049000,4087383.88,778167.5700000001
04051000,1370207.919999999,33429.84
04051010,0,0
04051900,0,0
04052000,74383.69000000005,9169.529999999995
04059010,34881.1,597.9300000000001
04059090,6891,639.1999999999999
04061000,0,0
04061010,10012628.05,493143.1299999999
04061090,2487229.339999995,114947.17
04062000,514279.47,20825.37
04063000,118782.13,8604.69
04064000,93647.35,9142.48
04069010,511681.4099999999,27101.67000000001
04069020,697643.1399999999,33314.98
04069030,155441.9,7952.08
04069090,646328.04,26989.75
04070011,2858.98,0
04070090,5806.530000000001,1.13
04071100,266317796.03,7549597.68
04071900,1591005.6,9642.029999999999
04072100,92608074.4,261354.67
04072900,6796119.88,95195.65000000002
04079000,8057482.62,113158.38
04081100,3755.61,158.7
04081900,16123.96,291.92
04089100,239646.7,7326.540000000001
04089900,1052407.8,39534.05
04090000,196250.99,18886.76
