ref,fundam_legal,beneficio,item,codigo_ncm,descr_produto,proporcao
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02042100,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02042200,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02042200,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02042300,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02042300,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02043000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02043000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02044100,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02044100,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02044200,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02044200,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02044300,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02044300,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02045000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02045000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02061000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02061000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02062100,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02062100,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02062200,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02062200,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02062910,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02062910,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02062990,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02062990,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02063000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02063000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02064100,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02064100,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02064900,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02064900,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02068000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02068000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02069000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02069000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071100,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071100,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071200,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071200,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071210,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071210,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071220,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071220,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071300,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071300,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071400,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071400,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071411,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071411,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071412,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071412,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071413,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071413,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071419,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071419,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071421,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071421,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071422,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071422,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071423,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071423,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071424,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071424,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071429,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071429,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071431,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071431,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071432,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071432,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071433,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02071433,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02071434,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
