ref,fundam_legal,beneficio,item,codigo_ncm,descr_produto,proporcao
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,19,11090000,"Sementes e cereais, mesmo triturados, em grãos esmagados ou trabalhados de outro modo; todos destinados diretamente à fabricação de ração para animais ou diretamente à alimentação animal, exceto de animais domésticos",1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13011000,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13012000,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13019000,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13019010,-,1
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,7,13019090,"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica",1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021100,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021110,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021190,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021200,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021300,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021400,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021910,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021920,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021930,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021940,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021950,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13021960,-,1
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,7,13021990,"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica",1
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,7,13021991,"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica",1
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,7,13021999,"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica",1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13022010,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13022090,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13023100,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13023211,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13023219,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13023220,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13023910,-,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,13023990,-,1
