ocupacao,percentual_corrigido_2023,percentual_corrigido_2024,valor_corrigido_2023,valor_corrigido_2024,ano,valor
117,0.3219776208123987,0.34087410425897896,24278582199.870415,28075560143.201035,2023,18661559646.31
118,0.00013684021469230354,0.00015451954537610806,10318376.762559991,12726759.631500315,2023,7931146.96
120,0.10551443124304931,0.10569984598935973,7956269711.364674,8705801778.79026,2023,6115530163.93
121,0.00034920509640715776,0.0003925260425355056,26331658.13308095,32329790.903111663,2023,20239641.87
130,0.009873560586612453,0.009356579410105198,744511533.7601136,770639965.5500537,2023,572263498.76
131,0.00024011571297243394,0.000160400307836056,18105820.70944118,13211119.39385618,2023,13916910.4
140,0.00045162587610832525,0.00038255160149100806,34054652.39794776,31508261.73459834,2023,26175866.52
211,0.00012751253117748346,0.00010892205050677285,9615026.85153967,8971193.592342619,2023,7390522.05
212,0.001904495321553083,0.0017163009566950353,143607639.8630703,141360432.28709316,2023,110382991.68
213,0.00018067530993966263,0.00016250906133004022,13623743.019124286,13384803.562902233,2023,10471793.24
214,0.011103968863507542,0.010499474984087128,837289933.7452594,864772764.2103752,2023,643576956.48
215,8.80927404513456e-05,8.981658032315915e-05,6642594.708487529,7397601.5520489,2023,5105783.21
221,0.0009600314191300928,0.001073952787885092,72390750.83851497,88454434.38061368,2023,55642636.11
222,0.0005804711871289778,0.0005662074796293657,43770176.93282041,46634789.64593656,2023,33643635.4
224,0.0034630024414575283,0.0035648239674463587,261126190.14060655,293611126.3586209,2023,200712790.08
225,0.06427127239517513,0.060120316267089066,4846347289.601543,4951715410.750405,2023,3725110398.42
226,0.1703623125370875,0.1627797992391229,12846095943.735287,13407102465.501535,2023,9874060342.68
227,0.0044648666473958605,0.004713201339602276,336671324.04031336,388195424.7145888,2023,258780020.31
228,0.0038474232328806614,0.003538906880085213,290113272.4115939,291476506.1693688,2023,222993504.84
229,0.03430965974467893,0,2587104943.067198,0,2023,1988559826.47
230,0,0.005313769650250914,0,437660290.2325225,2023,
231,0,0.021654947104383628,0,1783575702.0869236,2023,
232,0,0.0016694835320780154,0,137504388.65056545,2023,
