exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total,consumo_intermediario_total,consumo_intermediario_adm_publica,demanda_total_export,compras_adm_publica_2021,compras_adm_publica_2020,compras_adm_publica_2019,compras_adm_publica_media_2021_2019,consumo_final_proxy_debitos_cbs_2021,consumo_final_proxy_debitos_cbs_2020,consumo_final_proxy_debitos_cbs_2019,consumo_final_proxy_debitos_cbs_media_2021_2019
13382,0,0,71520,0,-833,84069,96833,12764,38,83451,0.00045535703586535814,0.0005687618492051918,0.0005148402708059825,0.0005129863852921775,0.8485596317213231,0.8845325290822921,0.8745336446842205,0.8692086018292785
22992,0,0,4105,125,1940,29162,76026,46864,179,53034,0.0033751932722404497,0.004193458205199888,0.004259017818339852,0.00394255643192673,0.08278858574392296,0.08466103507271172,0.08731560061513927,0.08492174047725798
36323,0,0,0,0,-2451,33872,49440,15568,0,13117,0,0,0,0,0,0,0,0
10595,0,0,24191,0,-99,34687,158284,123597,3116,147689,0.021098389182674402,0.02453456355646323,0.025272326851476935,0.023635093196871525,0.16368717351882425,0.19582207815595173,0.20156291055597186,0.18702405407691594
224,0,0,830,0,17,1071,39300,38229,2625,39076,0.06717678370355205,0.06954695294495172,0.07806133997283839,0.07159502554044739,0.021249903991397628,0.019839171930215088,0.020150788211103495,0.02041328804423874
3091,0,0,945,0,383,4419,23582,19163,637,20491,0.03108681860328925,0.04364794902429311,0.023818753499590818,0.03285117370905772,0.04699622040978715,0.052955561177165024,0.0327876086668726,0.04424646341794159
0,0,0,209837,0,0,209837,237737,27900,3193,237737,0.013430807993707333,0.017238451621018207,0.014473980626267178,0.01504774674699757,0.8826434252977029,0.8789346246973365,0.8772752872268529,0.8796177790739641
621,0,0,0,0,1125,1746,36708,34962,0,36087,0,0,0,0,0,0,0,0
29521,0,0,0,0,882,30403,58615,28212,0,29094,0,0,0,0,0,0,0,0
0,0,0,9280,0,0,9280,249686,240406,878,249686,0.003516416619273808,0.004482350377259582,0.003966308659031151,0.0039883585518548465,0.037166681351777836,0.0433215335410568,0.043272873122688175,0.04125369600517428
7816,0,0,50709,0,-735,57790,414151,356361,1104,406335,0.0027169699878179334,0.003301092661671013,0.003048883540761072,0.003022315396750006,0.12457071265384331,0.14978213706889298,0.12900093054733103,0.13445126009002245
5755,0,0,70785,0,-1335,75205,178587,103382,1899,172832,0.01098754860211072,0.013629686508863887,0.012715388197724702,0.012444207769566437,0.40642027479373244,0.43478260869565216,0.51542391825004,0.4522089339131415
4865,0,0,37,0,82,4984,183468,178484,834,178603,0.004669574419242678,0.0068035804518876775,0.005841170764624014,0.0057714418785847895,0.000207258529808818,0.00031067251461988307,0.00033983263242852896,0.0002859212256190767
1178,0,0,0,0,116,1294,158309,157015,6,157131,3.8184699390954045e-05,5.4601843358231776e-05,6.379829530954933e-05,5.2194946019578384e-05,0,0,0,0
15428,0,0,0,0,3602,19030,165581,146551,344,150153,0.0022909965168861094,0.0032377240525343566,0.0027880367876022883,0.002772252452340918,0,0,0,0
14236,0,0,0,0,5848,20084,165110,145026,0,150874,0,0,0,0,0,0,0,0
1856,0,0,934,0,5144,7934,117999,110065,0,116143,0,0,0,0,0.008414490220632618,0.008635348589457295,0.010126937910249535,0.009058925573446482
10797,0,0,837,0,2452,14086,72392,58306,3393,61595,0.05508564006818735,0.06369163323545225,0.05791269800845515,0.05889665710403158,0.01415213972913109,0.016042780748663103,0.018105306907031715,0.01610007579494197
1450,0,0,536,0,965,2951,42113,39162,427,40663,0.01050094680667929,0.011177508746942441,0.012511928745626127,0.011396794766415953,0.013501939644314575,0.015414565647539414,0.01566398669254228,0.014860163994798755
7011,0,0,116826,0,-2696,121141,149682,28541,1015,142671,0.007114269893671454,0.007383063283399572,0.007012202730017718,0.007169845302362914,0.8036624543397057,0.809455598308507,0.8205600216172397,0.8112260247551508
6058,12176,0,164613,0,3483,186330,280596,94266,35981,274538,0.13106018110425516,0.06133249447184109,0.06661456173371189,0.08633574576993604,0.6522255630776042,0.6990387553173988,0.6862959078834596,0.6791867420928209
