ncm,valor_antes_tratamento,valor_apos_tratamento,diferenca
19042000,284828.64,284828.64,0
19043000,281600,281600,0
19049000,3421136.38,3421136.38,0
19053100,135.45,135.45,0
19054000,2167,2167,0
19059010,2989.5,2989.5,0
19059090,1043858.06,1043858.06,0
20011000,3315,3315,0
20019000,1791633.58,1791633.58,0
20021000,73537.9,73537.9,0
20029000,3467.32,3467.32,0
20031000,51565,51565,0
20041000,3897158.2,3897158.2,0
20049000,200,200,0
20052000,24593744.92,24593744.92,0
20054000,800,800,0
20055100,217907903.23,217907903.23,0
20055900,386690.39,386690.39,0
20058000,3763228.850000002,3763228.850000002,-4.656612873077393e-10
20059100,73.6,73.6,0
20059900,91648.70000000001,91648.70000000001,0
20060000,4110872.23,4110872.23,0
20071000,14500,14500,0
20079910,2610,2610,0
20079921,412648.1,412648.1,0
20079922,1206.1,1206.1,0
20079923,10916191.82,10916191.82,0
20079924,130072,130072,0
20079925,1383044.52,1383044.52,0
20079927,2680299.33,2680299.33,0
20081100,11440342.15,11440342.15,0
20082010,26268.5,26268.5,0
20085000,23,23,0
20088000,782.6,782.6,0
20089100,2467703.64,2467703.64,0
20089900,30053.45,30053.45,0
20091900,23450.53,23450.53,0
20092900,285875,285875,0
20094100,15000,15000,0
20094900,866026.3,866026.3,0
20098912,20354.4,20354.4,0
20098913,259238.6,259238.6,2.91038304567337e-11
20098990,7.800000000000001,7.800000000000001,0
21011110,945002.03,945002.03,0
21011200,1197,1197,0
21021090,9563.28,9563.28,0
21022000,852.5,852.5,0
21033021,10011.7,10011.7,0
21033029,1438.65,1438.65,0
21039021,23644.49,23644.49,0
21039029,20172.36,20172.36,0
21041011,97534.11000000003,97534.11000000003,0
21042000,8224,8224,0
21061000,1038460.06,1038460.06,0
21069010,4411.6,4411.6,0
21069029,383.4,383.4,0
21069030,810698.7100000001,810698.7100000001,0
21069090,3265673.09,3265673.09,0
22011000,10108.55,10108.55,0
22019000,407198.34,407198.34,0
22021000,40.9,40.9,0
22042100,375,375,0
22043000,7785.2,7785.2,0
22060090,18,18,0
22071090,436.24,436.24,0
22086000,16201.6,16201.6,0
22089000,253.5,253.5,0
23011010,150322.05,150322.05,0
23011090,2241,2241,0
23012010,13677020.2,13677020.2,0
23021000,120017742.52,120017742.52,0
23023010,8282115.9,8282115.9,0
23023090,3243382.12,3243382.12,0
23024000,3123429.01,3123429.01,0
23025000,18124212.03,18124212.03,0
23031000,2901660.87,2901660.87,0
23032000,4736006.87,4736006.87,0
23040010,2148228.98,2148228.98,0
23040090,39101069.95,39101069.95,0
23050000,129232,129232,0
23061000,100693415.59,100693415.59,-1.490116119384766e-08
23063010,185207.27,185207.27,0
23063090,304034.97,304034.97,0
23064900,162000,162000,0
23065000,20015.1,20015.1,0
23066000,27414,27414,0
23069010,211938.7,211938.7,0
23069090,7944818.2,7944818.2,0
23080000,36424374.1,36424374.1,0
23091000,4880,4880,0
23099010,17188587.43,17188587.43,0
23099020,250451.8,250451.8,0
23099090,26010603,26010603,0
24022000,2032807.38,2032807.38,0
25010011,18590,18590,0
25010019,22500,22500,0
25010020,16269.66,16269.66,0
25010090,120798.46,120798.46,0
25030010,363822.56,363822.56,0
25030090,1157043,1157043,0
25041000,167693.48,167693.48,0
25051000,85339.04,85339.04,0
25059000,371656,371656,0
25070010,459390,459390,0
25101090,17940.03,17940.03,0
25102090,47731.66,47731.66,0
25171000,2355894.73,2355894.73,0
25172000,394774.45,394774.45,0
25174900,254995.62,254995.62,0
25181000,5103795.899999999,5103795.899999999,0
25182000,927504.75,927504.75,0
25201019,36477,36477,0
25202090,832561.51,832561.51,0
25210000,1752254.22,1752254.22,0
25221000,5324,5324,0
25232910,63713,63713,0
25280000,85020,85020,0
25309030,1344,1344,0
25309090,3783.4,3783.4,-4.547473508864641e-13
26011290,213300,213300,0
26080090,19652.75,19652.75,0
26219090,25000,25000,0
27012000,120686.2,120686.2,0
27101251,31061.66,31061.66,0
27101259,40294.99,40294.99,0
27101911,575499.48,575499.48,0
27101921,8231465.550000001,8231465.550000001,0
27101922,4812.08,4812.08,0
27101932,246491.46,246491.46,-2.91038304567337e-11
27101992,4884,4884,0
27101999,2520,2520,0
27102000,3420,3420,0
27109900,464212,464212,0
27111910,2782.88,2782.88,0
27112990,122177,122177,0
27129000,69955,69955,0
27139000,27915.52,27915.52,0
27160000,487755,487755,0
28011000,1040,1040,0
28043000,100.8,100.8,0
28080010,2160.8,2160.8,0
28100090,13426.4,13426.4,0
28111990,15221.32,15221.32,0
28112100,8.12,8.12,0
28151100,1272.79,1272.79,0
28181090,4000,4000,0
28249010,381485.11,381485.11,0
28254090,6784036.15,6784036.15,0
28272090,72,72,0
28273190,36592.25,36592.25,0
28273995,996415.8400000001,996415.8400000001,0
28289011,18110.14,18110.14,0
28332100,7183.22,7183.22,0
28332200,1080,1080,0
28352500,53345,53345,0
28352960,11943.5,11943.5,0
28365000,770,770,0
28401900,25000,25000,0
28402000,44189.56,44189.56,0
28429000,18362.75,18362.75,0
28469030,148538.72,148538.72,0
28499010,211632.26,211632.26,0
28500010,24791.75,24791.75,0
28521029,1280768.8,1280768.8,0
28539090,825507.04,825507.04,0
29034510,400,400,0
29035910,600,600,0
29051100,1374.02,1374.02,0
29121100,9100,9100,0
29141300,16100,16100,0
29141990,56.98,56.98,0
29155010,2171.43,2171.43,0
29155020,516.12,516.12,0
29189991,67730,67730,0
29214500,15300,15300,0
29221100,240.2,240.2,0
29224110,320.5,320.5,0
29224990,10060,10060,0
29304010,47090,47090,0
29304090,120,120,0
29309043,2062.2,2062.2,0
29309097,6000,6000,0
29322932,10000.8,10000.8,0
29329911,6295969.68,6295969.68,0
29329994,34428.1,34428.1,0
29333925,900,900,0
29333983,73971.14,73971.14,0
29335919,62307.52,62307.52,0
29362690,844.62,844.62,0
29362919,410,410,0
29369000,106825.27,106825.27,0
29375000,328230,328230,0
29391110,4000,4000,0
29391169,5148690.970000001,5148690.970000001,0
29419041,1580,1580,0
29419082,4247,4247,0
29420000,1573151,1573151,0
