codigo,descricao,categoria,valor_rend_tna_2023,valor_rend_tna_2024,atividade_de_divulgacao_scn_2010,classe_cnae_2_0_4_digitos,consumo_final_contas_nacionais,consumo_intermediaro,2024_0_1,2024_0_2,2024_0_3,ano,valor
266,"ESCRITOR, CRÍTICO, REDATOR","LC 214/2025, art 139",6014983.219786626,6609275.14821918,5800,5811,0.4295501470312207,0.5704498529687794,256517.21712629937,3770260.036531839,256517.21712629937,2023,3431246.2933369563
271,"LOCUTOR, COMENTARISTA","LC 214/2025, art 139",2885028.4856954175,2568316.252249184,5980,6021,0.026901987662782727,0.9730980123372173,10543.008516429189,2499223.4401170523,10543.008516429189,2023,2807415.4849664625
272,"ATOR, DIRETOR DE ESPETÁCULOS","LC 214/2025, art 139",8110927.624994149,7340086.915557273,9080,9001,0.8928112494033851,0.10718875059661492,82640.9857928858,786774.745749145,82640.9857928858,2023,869400.1983026922
273,CANTOR E COMPOSITOR,"LC 214/2025, art 139",19504308.65563918,17918658.483059365,5980,5920,0.026901987662782727,0.9730980123372173,314325.82481525256,17436610.953614485,314325.82481525256,2023,18979603.984814066
274,"MÚSICO, ARRANJADOR, REGENTE DE ORQUESTRA OU CORAL","LC 214/2025, art 139",39933115.65373956,42297022.33521021,5980,5920,0.026901987662782727,0.9730980123372173,1034544.6126394783,41159148.36217594,1034544.6126394783,2023,38858835.46908618
275,"DESENHISTA INDUSTRIAL (DESIGNER), ESCULTOR, PINTOR ARTÍSTICO E AFINS","LC 214/2025, art 139",51307227.76230675,58431192.723484956,9080,9002,0.8928112494033851,0.10718875059661492,1115677.4683550238,6263166.54390037,1115677.4683550238,2023,5499557.640417615
276,"CENÓGRAFO, DECORADOR DE INTERIORES","LC 214/2025, art 139",9886372.039341368,8972150.009679666,9080,9002,0.8928112494033851,0.10718875059661492,631559.6516746727,961713.5497029698,631559.6516746727,2023,1059707.8668303092
277,EMPRESÁRIO E PRODUTOR DE ESPETÁCULOS,"LC 214/2025, art 139",22324021.43947335,23036905.852229536,9080,9002,0.8928112494033851,0.10718875059661492,820988.3917063671,2469297.1559123304,820988.3917063671,2023,2392883.966389193
279,OUTROS PROFISSIONAIS DO ESPETÁCULO E DAS ARTES,"LC 214/2025, art 139",31591950.994432166,30411177.952436384,9080,9002,0.8928112494033851,0.10718875059661492,697309.8424944363,3259736.168892978,697309.8424944363,2023,3386301.75600267
290,PROFESSOR NA EDUCAÇÃO INFANTIL,"LC 214/2025, art 129",51861092.82004738,55933691.58269337,8592,8513,0.8621415167655477,0.13785848323445227,1078056.4592710794,7710933.883293757,1078056.4592710794,2023,7149491.595052875
