ncm,valor_antes_tratamento,valor_apos_tratamento,diferenca
03038962,1185.1,1185.1,0
03038963,566614.88,566614.88,0
03038964,759436.92,759436.92,0
03038965,17152.59,17152.59,0
03038990,1010600.63,1010600.63,0
03039110,157.8,157.8,0
03039190,219275.4100000001,219275.4100000001,0
03039200,32.5,32.5,0
03039920,524.49,524.49,0
03039990,87684.62,87684.62,0
03042090,1561.93,1561.93,0
03042930,130.62,130.62,0
03043100,551491.97,551491.97,0
03043210,111.28,111.28,0
03043290,158730.71,158730.71,0
03043300,83.6,83.6,0
03043900,120131.08,120131.08,0
03044100,35010.05000000001,35010.05000000001,0
03044200,1350,1350,0
03044300,511.02,511.02,0
03044400,39360,39360,0
03044600,7806.650000000001,7806.650000000001,0
03044700,207.8,207.8,0
03044800,250,250,0
03044920,75.84,75.84,0
03044990,15700.7,15700.7,0
03045100,62226.23,62226.23,0
03045200,831.3499999999999,831.3499999999999,0
03045300,41867.79,41867.79,0
03045400,1271.61,1271.61,0
03045600,80.4,80.4,0
03045900,5327.15,5327.15,0
03046100,1119797.37,1119797.37,0
03046210,398,398,0
03046290,162235.94,162235.94,0
03046900,6625.59,6625.59,0
03047100,2553.3,2553.3,0
03047200,1954.400000000001,1954.400000000001,0
03047300,2704.77,2704.77,0
03047400,72924.73000000001,72924.73000000001,0
03047500,4660.61,4660.61,0
03047900,698.49,698.49,0
03048100,146460.84,146460.84,0
03048200,611.28,611.28,0
03048300,124075.47,124075.47,0
03048600,394.8,394.8,0
03048700,858.98,858.98,0
03048890,22757.91999999999,22757.91999999999,0
03048990,211507.4300000001,211507.4300000001,0
03049100,874.5,874.5,0
03049211,209,209,0
03049212,227.3,227.3,0
03049219,1177.1,1177.1,0
03049222,6682,6682,0
03049229,1167.62,1167.62,0
03049300,27570.97,27570.97,0
03049400,6203.039999999998,6203.039999999998,0
03049500,9805.930000000002,9805.930000000002,0
03049600,3760.2,3760.2,0
03049700,3855.5,3855.5,0
03049900,722691.5599999999,722691.5599999999,0
03052000,1115.72,1115.72,0
03052010,216.84,216.84,0
03052090,335828.64,335828.64,0
03053100,5985,5985,0
03053210,3084.07,3084.07,0
03053220,1587.66,1587.66,0
03053230,29.9,29.9,0
03053290,503409.69,503409.69,0
03053900,113778.1,113778.1,0
03053990,18,18,0
03054100,9086.64,9086.64,0
03054200,612,612,0
03054400,3747.89,3747.89,0
03054910,1225.81,1225.81,0
03054920,37.99,37.99,0
03054990,258.25,258.25,0
03055100,84895.16,84895.16,0
03055200,1148.96,1148.96,0
03055310,2837.74,2837.74,0
03055390,4331.040000000001,4331.040000000001,0
03055400,125.54,125.54,0
03055900,19463.13,19463.13,0
03055905,1328.4,0,-1328.4
03056200,63193.92999999999,63193.92999999999,0
03056300,197,197,0
03056400,160,160,0
03056910,3438.82,3438.82,0
03056990,38581.18000000001,38581.18000000001,0
03057100,705,705,0
03057200,6121.160000000002,6121.160000000002,0
03057900,10477.54,10477.54,0
03061110,92468.84,92468.84,0
03061190,9908.3,9908.3,0
03061200,486961.15,486961.15,0
03061300,11671.8,11671.8,0
03061400,3116.71,3116.71,0
03061610,4554.799999999999,4554.799999999999,0
03061690,23320.37999999999,23320.37999999999,0
03061710,137004.3,137004.3,0
03061790,287814.1,287814.1,0
03061910,2522.5,2522.5,0
03061990,1735215.36,1735215.36,0
03062100,4,4,0
03063100,938.16,938.16,0
03063300,12,12,0
03063600,293436.11,293436.11,0
03063910,4.99,4.99,0
03063990,26922.46,26922.46,0
03069300,1180,1180,0
03069500,210611.72,210611.72,0
03069910,3850,3850,0
03069990,14563.64,14563.64,0
03071100,1452.5,1452.5,0
03071200,29.85,29.85,0
03071900,3755.2,3755.2,0
03072100,48882.86,48882.86,0
03072200,86699.7,86699.7,0
03072900,21452.78,21452.78,0
03073100,113.8,113.8,0
03073200,4626.01,4626.01,0
03073900,2751.19,2751.19,0
03074200,6143,6143,0
03074310,533854.5800000001,533854.5800000001,0
03074320,1845.47,1845.47,0
03074900,101273.28,101273.28,0
03074919,45400,45400,0
03075100,4916.23,4916.23,0
03075200,89288.45999999999,89288.45999999999,0
03075900,27942.88,27942.88,0
03076000,39.28,39.28,0
03077100,126,126,0
03077200,109.95,109.95,0
03077900,862,862,0
03078100,1456.52,1456.52,0
03078200,128.9,128.9,0
03078300,115.6,115.6,0
03079100,1558,1558,0
03079200,554.4100000000001,554.4100000000001,0
03079900,3789.99,3789.99,0
03081100,1335.11,1335.11,0
03081900,81930.71,81930.71,0
03082100,31.8,31.8,0
03082900,21710,21710,0
03089000,9037.68,9037.68,0
03091000,50109.20999999996,50109.20999999996,0
03099000,121276.82,121276.82,0
03105600,4315,0,-4315
03201402,450,0,-450
03214900,13.5,0,-13.5
03216548,8.5,0,-8.5
03230015,159442.15,0,-159442.15
03232323,3800,0,-3800
03303330,880,0,-880
03380000,178.25,0,-178.25
03402500,169.6,0,-169.6
03402903,607.2,0,-607.2
03409203,672,0,-672
03433100,483.95,0,-483.95
03506190,34.8,0,-34.8
03654123,1826,0,-1826
03808419,200.99,0,-200.99
03917490,18,0,-18
03923211,824,0,-824
03923219,3040,0,-3040
03923900,4050,0,-4050
03926906,25.2,0,-25.2
04006200,160,0,-160
04009390,578.9,0,-578.9
04011010,880476.6700000002,880476.6700000002,0
04011090,374491.28,374491.28,0
04011210,1797,0,-1797
04011400,554,0,-554
04012010,10290925.11,10290925.11,0
04012090,1036296.78,1036296.78,0
04013010,8019.46,8019.46,0
04013020,43.58000000000001,0,-43.58000000000001
04013021,592.4599999999999,592.4599999999999,0
04013029,367.9499999999999,367.9499999999999,0
04014010,316722.44,316722.44,0
04014021,105823.96,105823.96,0
04014029,58330.73000000001,58330.73000000001,0
04015010,5335003.279999997,5335003.279999997,0
04015021,2231047.589999998,2231047.589999998,0
04015029,795201.09,795201.09,0
04016699,64,0,-64
04017000,861.5,0,-861.5
04021010,29471.24999999999,29471.24999999999,0
04021090,277330.05,277330.05,0
04022110,5482794.299999999,5482794.299999999,0
04022120,99876.89000000001,99876.89000000001,0
04022130,121703.88,121703.88,0
04022910,109933.63,109933.63,0
04022920,13764.38,13764.38,0
04022930,102469.79,102469.79,0
04029100,19539.69999999999,19539.69999999999,0
04029900,3890186.479999996,3890186.479999996,0
04029990,46.6,0,-46.6
04031000,9766.08,9766.08,0
04032000,1243289.149999999,1243289.149999999,0
04039000,722974.7699999996,722974.7699999996,0
04040013,140,0,-140
04041000,18597504.01,18597504.01,0
04049000,5993850.6,5993850.6,0
04051000,1353999.129999998,1353999.129999998,0
04051900,24,0,-24
04052000,4009.119999999996,4009.119999999996,0
04059010,45298,45298,0
04059090,14756.25999999999,14756.25999999999,0
04061000,1559.7,0,-1559.7
04061010,9077569.830000004,9077569.830000004,0
04061090,2203956.809999996,2203956.809999996,0
04062000,552705.13,552705.13,0
04063000,223584.11,223584.11,0
04064000,83388.04000000001,83388.04000000001,0
04069000,20.5,0,-20.5
04069010,493070.1200000001,493070.1200000001,0
04069011,119.65,0,-119.65
04069020,673800.7300000001,673800.7300000001,0
04069021,28.58,0,-28.58
04069030,148287.76,148287.76,0
04069090,497251.6300000001,497251.6300000001,0
04070011,9243.080000000002,9243.080000000002,0
04070090,9288.35,9288.35,0
04071100,209111084.1,209111084.1,0
04071900,642712.5499999999,642712.5499999999,0
04072100,74842637.39,74842637.39,0
04072900,7352102.63,7352102.63,0
04079000,8477158.34,8477158.34,0
04081100,7210.809999999999,7210.809999999999,0
04081900,27884.73,27884.73,0
04089100,584116.38,584116.38,0
04089900,1598625.31,1598625.31,0
04090000,484224.38,484224.38,0
04091010,1131.15,0,-1131.15
04096010,20.93,0,-20.93
04100000,9908.37,9908.37,0
04101000,15241.31,15241.31,0
04109000,57694.43999999999,57694.43999999999,0
04240618,399.99,0,-399.99
04248121,7.6,0,-7.6
04414000,1980,0,-1980
04421230,378,0,-378
04479990,2180,0,-2180
04602000,3065.9,0,-3065.9
04779099,425,0,-425
05010000,15870.85,15870.85,0
05021011,2333.68,2333.68,0
05021019,7334.289999999999,7334.289999999999,0
05021090,4611.56,4611.56,0
05029010,407.38,407.38,0
05029020,51.94,51.94,0
05032015,51.95999999999999,0,-51.95999999999999
05032900,3149.76,0,-3149.76
05040010,39.46,0,-39.46
05040011,2603260921.119999,2603260921.119999,0
05040012,1171533.75,1171533.75,0
05040013,73316.76999999999,73316.76999999999,0
05040019,4734.04,4734.04,0
05040090,90369.48999999998,90369.48999999998,0
05051000,209.62,209.62,0
05059000,583736.2,583736.2,0
05061000,29281.55,29281.55,0
05069000,3352683.23,3352683.23,0
05070000,41.64,0,-41.64
05079000,196031.31,196031.31,0
05080000,240261.37,240261.37,0
05100010,5586.98,5586.98,0
05100090,2612254.79,2612254.79,0
05111000,231303661.07,231303661.07,0
05119110,2212.75,2212.75,0
05119190,3032742.03,3032742.03,0
05119910,71900233.28,71900233.28,0
05119920,56774614.44,56774614.44,0
05119930,2613.09,2613.09,0
05119990,6,6,0
05119991,4584.9,4584.9,0
05119999,15402076.6,15402076.6,0
05154145,156,0,-156
05187481,7.8,0,-7.8
05405060,630,0,-630
05471230,7756.56,0,-7756.56
05607509,228.39,0,-228.39
06010001,299,0,-299
06011000,1577789.95,1577789.95,0
06012000,33496862.53,33496862.53,0
06020989,62589.77,0,-62589.77
06021000,5865135.160000004,5865135.160000004,0
06022000,19385347.1,19385347.1,0
06022200,64669,0,-64669
06022902,1200,0,-1200
06023000,2476053.79,2476053.79,0
06024000,20071.23,20071.23,0
06028990,240,0,-240
06029010,119394.92,119394.92,0
06029020,79854.48999999999,0,-79854.48999999999
06029021,55427244.96000001,55427244.96000001,0
06029029,47516178.11,47516178.11,0
06029069,31500,0,-31500
06029081,138753807.56,138753807.56,0
06029082,3582920.92,3582920.92,0
06029083,30548104.65000001,30548104.65000001,0
06029089,94671887.18,94671887.18,0
06029090,89663689.93,89663689.93,0
06031000,4141.96,4141.96,0
06031100,491495.6799999999,491495.6799999999,0
06031200,24815.96,24815.96,0
06031300,126536.29,126536.29,0
06031400,56997.99,56997.99,0
06031500,26061.22,26061.22,0
06031900,2042837.25,2042837.25,0
06039000,1881228.14,1881228.14,0
06040000,121.29,0,-121.29
06041000,10,10,0
06042000,162176.58,162176.58,0
06049000,1560411.73,1560411.73,0
06049100,1368,1368,0
06109100,250,0,-250
06170000,704.98,0,-704.98
06205900,66.9,0,-66.9
06377024,310,0,-310
06505901,700,0,-700
06805000,16.92,0,-16.92
06914900,529,0,-529
06934090,24.75,0,-24.75
07000000,260.45,0,-260.45
07010000,250,0,-250
07011000,78385198.89000002,78385198.89000002,0
07019000,132269017.85,132269017.85,0
07020000,24182307.66,24182307.66,0
07021400,15.5,0,-15.5
07024000,185.33,0,-185.33
07031001,111.86,0,-111.86
07031010,1705.71,0,-1705.71
07031011,27982323.11,27982323.11,0
07031019,16238288.98,16238288.98,0
07031021,1905.82,1905.82,0
07031029,78214.53,78214.53,0
07032000,13.49,0,-13.49
07032010,31390669.28,31390669.28,0
07032090,187675243,187675243,0
07033070,439.8,0,-439.8
07039010,225279.23,225279.23,0
07039090,5298112,5298112,0
07040000,66.06,0,-66.06
07041000,11231651.71,11231651.71,0
07041001,835.1600000000002,0,-835.1600000000002
07042000,52559.82,52559.82,0
07042100,117.38,0,-117.38
07049000,9996150.31,9996150.31,0
07049002,315.69,0,-315.69
07049003,33,0,-33
07050190,35,0,-35
07051000,44.97,0,-44.97
07051100,755880.9799999995,755880.9799999995,0
07051900,4907198.599999996,4907198.599999996,0
07052100,1362434.04,1362434.04,0
07052900,266829.35,266829.35,0
07060000,13557.65,0,-13557.65
07061000,57659878.28000002,57659878.28000002,0
07069000,7510698.739999999,7510698.739999999,0
07070000,4499726.239999999,4499726.239999999,0
07081000,131557.51,131557.51,0
07082000,62922.75,62922.75,0
07082999,1923,0,-1923
07089000,1686567.07,1686567.07,0
07089001,673.1700000000001,0,-673.1700000000001
07089493,1900,0,-1900
07089990,2691.82,0,-2691.82
07091000,503.03,503.03,0
07092000,19787.05,19787.05,0
07093000,203046.87,203046.87,0
07094000,24947.92,24947.92,0
07095100,10075.52,10075.52,0
