codigo_ncm,nome_ncm,codigo_produto,descricao_produto
52041932,"Linhas para costurar, de algodão, não acondicionadas para venda a retalho, de algodão branqueado ou colorido, de título inferior ou igual a 5.000 decitex por fio simples, de três ou mais cabos",13001,Fios e fibras têxteis beneficiadas
52041940,"Linhas para costurar, de algodão, não acondicionadas para venda a retalho, de algodão branqueado ou colorido, de título superior a 5.000 decitex por fio simples",13001,Fios e fibras têxteis beneficiadas
52042000,"Outras linhas para costura, de algodão, acondicionadas para venda a retalho",13001,Fios e fibras têxteis beneficiadas
52051100,"Fios simples de algodão, de fibras não penteadas, de título igual ou superior a 714,29 decitex (número métrico não superior a 14), não acondicionados para venda a retalho",13001,Fios e fibras têxteis beneficiadas
52051200,"Fios simples de algodão, de fibras não penteadas, de título inferior a 714,29 decitex mas não inferior a 232,56 decitex (número métrico superior a 14 mas não superior a 43), não acondicionados para venda a retalho",13001,Fios e fibras têxteis beneficiadas
52051310,"Fios simples de algodão, de fibras não penteadas, de título inferior a 232,56 decitex mas não inferior a 192,31 decitex (número métrico superior a 43 mas não superior a 52), crus, não acondicionados para venda a retalho",13001,Fios e fibras têxteis beneficiadas
52051390,"Outros fios simples de algodão, de fibras não penteadas, de título inferior a 232,56 decitex mas não inferior a 192,31 decitex (número métrico superior a 43 mas não superior a 52), não acondicionados para venda a retalho",13001,Fios e fibras têxteis beneficiadas
52051400,"Fios de algodão simples, de fibras não penteadas, de título inferior a 192,31 decitex mas não inferior a 125 decitex (número métrico superior a 52 mas não superior a 80), não acondicionados para venda a retalho",13001,Fios e fibras têxteis beneficiadas
52051500,"Fios de algodão simples, de fibras não penteadas, de título inferior a 125 decitex (número métrico superior a 80), não acondicionados para venda a retalho",13001,Fios e fibras têxteis beneficiadas
52052100,"Fios de algodão simples, de fibras penteadas, de título igual ou superior a 714,29 decitex (número métrico não superior a 14)",13001,Fios e fibras têxteis beneficiadas
52052200,"Fios de algodão simples, de fibras penteadas, de título inferior a 714,29 decitex mas não inferior a 232,56 decitex (número métrico superior a 14 mas não superior a 43)",13001,Fios e fibras têxteis beneficiadas
52052310,"Fios de algodão simples, de fibras penteadas, de título inferior a 232,56 decitex mas não inferior a 192,31 decitex (número métrico superior a 43 mas não superior a 52), crus",13001,Fios e fibras têxteis beneficiadas
52052390,"Outros fios de algodão simples, de fibras penteadas, de título inferior a 232,56 decitex mas não inferior a 192,31 decitex (número métrico superior a 43 mas não superior a 52)",13001,Fios e fibras têxteis beneficiadas
52052400,"Fios simples de algodão, de fibras penteadas, que contenham pelo menos 85 %,em peso,de algodão,não acondicionados para venda a retalho, de título inferior a 192,31 decitex mas não inferior a 125 decitex (número métrico superior a 52 mas não superior a 80)",13001,Fios e fibras têxteis beneficiadas
52052600,"Fios simples de algodão,de fibras penteadas,que contenham pelo menos 85 %, em peso, de algodão,não acondicionados para venda a retalho, de título inferior a 125 decitex mas não inferior a 106,38 decitex (número métrico superior a 80 mas não superior a 94)",13001,Fios e fibras têxteis beneficiadas
