produto_interno_bruto_1,1199092_111000002,1315755_47899999,1488787_2559999959,1717950_4089999902,1957751_2169999941,2170584_5149999997,2409449_882999989,2720262_966000002,3109803_093000006,3333039_3110000165,3885847_0,4376382_0,4814760_0,5331619_0,5778953_0,5995787_0,6269328_0,6585479_0,7004141_0,7389131_0,7609597_0,9012142_0
   Empresas financeiras,34052.36099999999,23022.413,69198.70299999986,65000.05400000025,59648.05800000002,85337.66300000002,115326.99799999996,130545.51899999994,118297.02099999985,121198.82399999995,126531.0,154631.0,114996.0,137684.0,155044.0,191765.0,213199.0,244403.0,218783.0,212069.0,285318.0,302696.0
   Governo geral,141285.06400000013,159776.86600000004,173511.093,196927.67299999995,280406.27299999987,296199.8030000001,312059.51500000036,355941.32000000007,456245.21999999986,476285.00899999985,575176.0,602047.0,699763.0,744105.0,755055.0,660129.0,775380.0,857995.0,959310.0,1106999.0,1039994.0,1398215.0
   Famílias,865820.9970000002,943583.455,1021811.1769999997,1151795.4559999998,1274152.0369999998,1416038.853,1557502.992,1751200.1609999996,1994877.8769999996,2196627.1470000003,2546793.0,2885497.0,3230004.0,3593023.0,3903207.0,4178870.0,4339381.0,4511056.0,4773927.0,5070170.0,5034849.0,5745564.0
   Instituições sem fins de lucro a serviço das famílias,3923.7280000000073,3565.749999999946,3746.44100000002,4692.838000000014,5006.456999999961,4931.347999999971,5376.778999999898,5896.820000000048,6205.004999999992,8900.855000000003,11101.0,9987.0,9248.0,8670.0,9731.0,11607.0,11206.0,11521.0,15159.0,13315.0,15197.0,19144.0
Renda disponível bruta,1167310.9380000033,1276857.3310000037,1446105.4549999987,1672181.894999997,1909378.6009999912,2116426.0589999924,2358482.8760000216,2670170.100000014,3041288.3099999973,3265693.580000006,3770497.0,4268375.0,4699524.0,5264733.0,5676902.0,5891361.0,6145502.0,6469621.0,6808200.0,7194322.0,7461736.0,8746788.0
   Empresas não financeiras,68669.72800000291,84840.2990000037,86605.91099999909,144198.15999999703,173737.56599999158,177273.10699999257,216921.64200002153,249440.74200001452,290921.7699999979,279778.8630000063,320043.0,386766.0,392774.0,506681.0,586209.0,556840.0,468857.0,503295.0,507934.0,438614.0,727236.0,770105.0
   Empresas financeiras,32761.55499999999,40129.56,73609.58799999987,55906.02300000025,68238.82400000002,85660.13100000001,127873.95899999997,173398.52299999993,132899.68199999986,101947.26599999996,126294.0,130120.0,121467.0,117773.0,128429.0,210769.0,199467.0,205000.0,170867.0,193531.0,249114.0,267140.0
   Governo geral,195834.81200000015,208777.32600000003,247981.82199999996,289805.7399999999,358892.76399999985,410465.74500000005,423326.7840000003,466441.5450000001,600916.4569999999,628186.8449999997,769351.0,856535.0,948987.0,1009908.0,978402.0,884973.0,981236.0,961210.0,1105372.0,1214277.0,748877.0,1655495.0
   Famílias,849321.1150000001,921972.3960000001,1011475.0629999996,1154362.1339999998,1276698.0699999998,1406509.828,1546184.0019999999,1737958.3699999996,1969034.3359999994,2202387.751,2492302.0,2828939.0,3161213.0,3550416.0,3898396.0,4148220.0,4404397.0,4704231.0,4918180.0,5236490.0,5625181.0,5937056.0
   Instituições sem fins de lucro a serviço das famílias,20723.728000000006,21137.749999999945,26433.07100000002,27909.838000000014,31811.37699999996,36517.24799999997,44176.4889999999,42930.92000000005,47516.06499999999,53392.855,62507.0,66015.0,75083.0,79955.0,85466.0,90559.0,91545.0,95885.0,105847.0,111410.0,111328.0,116992.0
