ref,fundam_legal,beneficio,item,codigo_ncm,descricao_ncm,descr_produto,proporcao_antes_tratamento,proporcao_apos_tratamento,diferenca
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051110,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De linhas puras ou híbridas, para reprodução","Aves de um dia, exceto as ornamentais",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051110,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De linhas puras ou híbridas, para reprodução",Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01051190,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - Outros",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051190,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - Outros","Aves de um dia, exceto as ornamentais",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051190,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - Outros",Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01051200,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - -- Peruas e perus",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051200,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - -- Peruas e perus","Aves de um dia, exceto as ornamentais",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051200,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - -- Peruas e perus",Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01051300,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - -- Patos",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051300,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - -- Patos","Aves de um dia, exceto as ornamentais",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051300,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - -- Patos",Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01051400,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - -- Gansos",-,0,0,0
